timestamp,latitude,longitude,elevation_m
2026-09-19T07:37:00,42.3550000,-71.0840000,28.00
2026-09-19T07:37:05,42.3549234,-71.0838812,28.08
2026-09-19T07:37:10,42.3548602,-71.0837809,28.06
2026-09-19T07:37:15,42.3548113,-71.0836672,28.01
2026-09-19T07:37:20,42.3547087,-71.0835383,27.97
2026-09-19T07:37:25,42.3546374,-71.0834280,28.07
2026-09-19T07:37:30,42.3545596,-71.0833067,28.09
2026-09-19T07:37:35,42.3545177,-71.0831484,28.06
2026-09-19T07:37:40,42.3544498,-71.0830217,28.04
2026-09-19T07:37:45,42.3543561,-71.0828705,27.94
2026-09-19T07:37:50,42.3542628,-71.0827246,27.85
2026-09-19T07:37:55,42.3542008,-71.0826111,27.88
2026-09-19T07:38:00,42.3541099,-71.0825338,27.89
2026-09-19T07:38:05,42.3540359,-71.0824398,27.92
2026-09-19T07:38:10,42.3539402,-71.0823154,27.98
2026-09-19T07:38:15,42.3538387,-71.0822095,28.07
2026-09-19T07:38:20,42.3537450,-71.0820909,28.05
2026-09-19T07:38:25,42.3536625,-71.0819950,28.11
2026-09-19T07:38:30,42.3535528,-71.0819062,28.16
2026-09-19T07:38:35,42.3534688,-71.0817679,28.20
2026-09-19T07:38:40,42.3533891,-71.0816771,28.31
2026-09-19T07:38:45,42.3532845,-71.0815839,28.39
2026-09-19T07:38:50,42.3532142,-71.0815007,28.40
2026-09-19T07:38:55,42.3531223,-71.0814038,28.42
2026-09-19T07:39:00,42.3529980,-71.0813328,28.43
2026-09-19T07:39:05,42.3528913,-71.0812488,28.41
2026-09-19T07:39:10,42.3527652,-71.0811625,28.40
2026-09-19T07:39:15,42.3526471,-71.0811149,28.45
2026-09-19T07:39:20,42.3525421,-71.0810444,28.54
2026-09-19T07:39:25,42.3524230,-71.0810368,28.58
2026-09-19T07:39:30,42.3523185,-71.0810153,28.61
2026-09-19T07:39:35,42.3522098,-71.0809683,28.76
2026-09-19T07:39:40,42.3520987,-71.0809148,28.79
2026-09-19T07:39:45,42.3519938,-71.0808988,28.80
2026-09-19T07:39:50,42.3518738,-71.0809151,28.85
2026-09-19T07:39:55,42.3517697,-71.0809050,28.91
2026-09-19T07:40:00,42.3516496,-71.0809284,29.00
2026-09-19T07:40:05,42.3515532,-71.0809106,29.07
2026-09-19T07:40:10,42.3514225,-71.0809063,29.18
2026-09-19T07:40:15,42.3513151,-71.0808941,29.21
2026-09-19T07:40:20,42.3512078,-71.0809286,29.19
2026-09-19T07:40:25,42.3510810,-71.0808806,29.21
2026-09-19T07:40:30,42.3509759,-71.0808813,29.22
2026-09-19T07:40:35,42.3508807,-71.0809085,29.24
2026-09-19T07:40:40,42.3507725,-71.0808977,29.36
2026-09-19T07:40:45,42.3506337,-71.0809084,29.40
2026-09-19T07:40:50,42.3504869,-71.0809183,29.26
2026-09-19T07:40:55,42.3503857,-71.0808783,29.48
2026-09-19T07:41:00,42.3502758,-71.0808526,29.56
2026-09-19T07:41:05,42.3501731,-71.0807829,29.63
2026-09-19T07:41:10,42.3500287,-71.0807301,29.64
2026-09-19T07:41:15,42.3499067,-71.0806636,29.70
2026-09-19T07:41:20,42.3498165,-71.0805987,29.87
2026-09-19T07:41:25,42.3497208,-71.0805056,29.89
2026-09-19T07:41:30,42.3496242,-71.0804035,29.87
